No.,Category,Service,Release Date,Year,label
86,Machine Learning,AWS DeepLens,Released June 13,2018,14
87,Machine Learning,AWS Deep Learning AMIs,Released,2017,14
88,Machine Learning,Apache MXNet on AWS,Released,2017,14
89,Machine Learning,TensorFlow on AWS,Released ,2017,14
90,Machine Learning,Amazon Personalize,In Preview,2019,14
91,Machine Learning,Amazon Forecast,In Preview,2019,14
92,Machine Learning,Amazon Inferentia,Coming late 2019,2019,14
93,Machine Learning,Amazon Textract,In Preview,2019,14
94,Machine Learning,Amazon Elastic Inference,Released November 28,2018,14
95,Machine Learning,Amazon SageMaker Ground Truth,Released November 28,2018,14
96,Machine Learning,AWS DeepRacer,In Preview,2019,14
97,Machine Learning,AWS Deep Learning Containers, Released March 27,2019,14
98,Management & Governance,AWS Chatbot,In beta as of July 24,2019,15
99,Management & Governance,Amazon CloudWatch,Released May,2009,15
100,Management & Governance,AWS Auto Scaling,Released January 16,2018,15
101,Management & Governance,AWS CloudFormation,Released February 25,2011,15
102,Management & Governance,AWS CloudTrail,Released November 13,2013,15
103,Management & Governance,AWS Config,Released November 12,2014,15
104,Management & Governance,AWS OpsWorks,Released February 18,2013,15
105,Management & Governance,AWS Service Catalog,Released July 9,2015,15
106,Management & Governance,AWS Systems Manager,Released November 29,2017,15
107,Management & Governance,AWS Trusted Advisor,Released July 31,2014,15
108,Management & Governance,AWS Personal Health Dashboard,Released December 1,2016,15
109,Management & Governance,AWS Control Tower,Released November 28,2018,15
110,Management & Governance,AWS License Manager,Released November 28,2018,15
111,Management & Governance,AWS Well-Architected Tool,Released November 29,2018,15
112,Management & Governance,AWS Console Mobile Application,Released November 15,2018,15
113,Management & Governance,AWS Management Console,Released January 8,2009,15
114,Management & Governance,AWS Managed Services,Released December 12,2016,15
115,Management & Governance,AWS Organizations,Released February 27,2017,15
116,Media Services,AWS Elemental Appliances & Software,Announced May,2019,16
117,Media Services,Amazon Elastic Transcoder,Released January 28,2013,16
118,Media Services,Amazon Kinesis Video Streams,Released November 29,2017,16
119,Media Services,AWS Elemental MediaConvert,Released November 26,2017,16
120,Media Services,AWS Elemental MediaLive,Released November 26,2017,16
121,Media Services,AWS Elemental MediaPackage,Released November 26,2017,16
122,Media Services,AWS Elemental MediaStore,Released November 26,2017,16
123,Media Services,AWS Elemental MediaTailor,Released November 26,2017,16
124,Media Services,AWS Elemental MediaConnect,Released November 27,2018,16
125,Migration & Transfer,CloudEndure Migration,Released July 11,2019,17
126,Migration & Transfer,AWS Migration Hub,Released August 14,2017,17
127,Migration & Transfer,AWS Server Migration Service,Released October 24,2016,17
128,Migration & Transfer,AWS Snowball Family,First Version AWS Snowball Released 2009,2009,17
129,Migration & Transfer,AWS DataSync ,Released November 26,2018,17
130,Migration & Transfer,AWS Transfer for SFTP,Released November 26,2018,17
131,Mobile,AWS Amplify,Released November 21,2017,18
132,Mobile,Amazon API Gateway,Released July 9,2015,18
133,Mobile,AWS Device Farm,Released July,2015,18
134,Networking & Content Delivery,Amazon VPC,Released August 25,2009,19
135,Networking & Content Delivery,AWS PrivateLink,Released November 8,2017,19
136,Networking & Content Delivery,Amazon CloudFront,Released November,2008,19
137,Networking & Content Delivery,Amazon Route 53,Released December 05,2010,19
138,Networking & Content Delivery,AWS Direct Connect,Released August 3,2011,19
139,Networking & Content Delivery,AWS Cloud Map,Released November 28,2018,19
140,Networking & Content Delivery,AWS App Mesh,Released November 28,2018,19
141,Networking & Content Delivery,AWS Transit Gateway,Released November 26,2018,19
142,Networking & Content Delivery,AWS Global Accelerator,Released November 26,2018,19
143,Networking & Content Delivery,Elastic Load Balancing,Released May,2009,19
144,Robotics,AWS RoboMaker,Released November 26,2018,20
145,Satellite,AWS Ground Station,In Preview,2019,21
146,"Security, Identity & Compliance",AWS Resource Access Manager (RAM),Released November 21,2018,22
147,"Security, Identity & Compliance",AWS Identity & Access Management,Released May 3,2011,22
148,"Security, Identity & Compliance",Amazon Cloud Directory,Released January 26,2017,22
149,"Security, Identity & Compliance",AWS Single Sign-On,Released December 7,2017,22
150,"Security, Identity & Compliance",Amazon GuardDuty,Released November 28,2017,22
151,"Security, Identity & Compliance",Amazon Inspector,Released April 20,2016,22
152,"Security, Identity & Compliance",Amazon Macie,Released August 14,2017,22
153,"Security, Identity & Compliance",AWS Certificate Manager,Released January 21,2016,22
154,"Security, Identity & Compliance",AWS CloudHSM,Released March 26,2013,22
155,"Security, Identity & Compliance",AWS Directory Service,Released October 21,2014,22
156,"Security, Identity & Compliance",AWS Firewall Manager,Released April 4,2018,22
157,"Security, Identity & Compliance",AWS Key Management Service,Released November 12,2014,22
158,"Security, Identity & Compliance",AWS Secrets Manager,Released April 4,2018,22
159,"Security, Identity & Compliance",AWS Shield,Released December 1,2016,22
160,"Security, Identity & Compliance",AWS WAF,Released October 6,2015,22
161,"Security, Identity & Compliance",AWS Artifact,Released December 7,2016,22
162,"Security, Identity & Compliance",AWS Security Hub,Released January 24,2019,22
163,Storage,Amazon Simple Storage Service (S3),Released March 19,2006,23
164,Storage,Amazon Elastic Block Store (EBS),Announced August 20,2008,23
165,Storage,Amazon Elastic File System (EFS),Released June 29,2016,23
166,Storage,Amazon S3 Glacier,Released August 21,2012,23
167,Storage,AWS Storage Gateway,Released January 24,2012,23
168,Storage,AWS Snow Family,First Version AWS Snowball,2009,23
169,Storage,Amazon FSx for Lustre,Released November 28,2018,23
170,Storage,Amazon FSx for Windows File Server,Released November 28,2018,23
171,Storage,AWS Backup,Released January 16,2019,23
